sku;name;weight;price;category;stock;description;image
00000004;Bond Angel - Passo 3 Tratamento Fortificante Pós-Química 100ml;100ml;5495.00;;;O passo essencial para fortalecer cabelos loiros e quimicamente tratados. Aumenta a resistência e o brilho, garantindo a saúde dos fios. Garanta o seu!;https://braehaircare.vtexassets.com/arquivos/ids/160424/Brae_Bond-Angel_Plex-Effect_Passo3_Tratamento-Fortificante-Pos-Quimica_100ml_Frente.jpg.jpg?v=638811975590570000
00000103;BOND ANGEL - TRATAMENTO RECONSTRUTOR PARA LOIRAS 500ML;500ML;19995.00;;;Fortalece cabelos quimicamente tratados em tamanho salão. Aumenta a resistência, a elasticidade e mantém a saúde capilar após os procedimentos. Garanta o seu!;https://braehaircare.vtexassets.com/arquivos/ids/161071/Brae_Bond-Angel_Plex-Effect_Passo3_Tratamento-Fortificante-Pos-Quimica_500ml_Frente.jpg.jpg?v=638862948438770000
00000070;Bond Angel - Shampoo Matizador para Loiras 1L;1L;499.00;;;Neutralize os tons amarelados e trate os fios descoloridos em um só passo. Fórmula sem sal que oferece nutrição e remineralização para um loiro perfeito;https://braehaircare.vtexassets.com/arquivos/ids/160405/Brae_Bond-Angel_Plex-Effect_Shampoo-Matizador-Loiras_1L_Frente--1-.jpg.jpg?v=638840483719870000
00000100;Bond Angel - Plex Effect Passo 1 Tratamento Protetor 500ml;500ml;99.00;;;Proteja os fios durante descolorações e processos químicos. Garante loiros saudáveis, fortes e sem quebra, preservando a integridade da fibra capilar.;https://braehaircare.vtexassets.com/arquivos/ids/160381/Brae_Bond-Angel_Plex-Effect_Passo1_Tratamento-Protetor_500ml_Frente.jpg.jpg?v=638811972613630000
00000101;Bond Angel - Plex Effect Passo 2 Reconstrutor Pós-Química 500ml;500ml;599.00;;;O reconstrutor pós-química que protege e multiplica as pontes do fio durante a descoloração. Garante loiros saudáveis, fortes e sem quebras. Essencial!;https://braehaircare.vtexassets.com/arquivos/ids/160390/Brae_Bond-Angel_Plex-Effect_Passo2_Reconstrutor-Pos-Quimica_500ml_Frente.jpg.jpg?v=638811973791070000
00000006;Bond Angel - Leave-in Thermal Blonde Matizador para Loiras 200ml;200ml;8495.00;;;O finalizador ideal para cabelos loiros. Combate o frizz, neutraliza o tom amarelado, protege contra o calor do secador e realça o brilho. Tenha o seu!;https://braehaircare.vtexassets.com/arquivos/ids/160415/Brae_Bond-Angel_Leave-in-Thermal-Blonde-Matizador-Loiras_200ml_Frente.jpg.jpg?v=638811975179430000
00000665;Braé by Ana Paula Siebert Body Splash Peach Blossom Desodorante Colônia 200ml;200ml;645.00;;;Descubra uma experiência de fragrância delicada e luminosa com o Body Splash Desodorante Colônia Peach Blossom. Inspirada na suavidade das flores e na doçura natural das frutas, essa fragrância revela um frescor feminino e elegante desde a primeira aplicação. As notas frutadas de pêssego se unem a um buquê floral leve e sofisticado, criando uma sensação confortável, envolvente e irresistivelmente fresca. Perfeita para quem ama fragrâncias delicadas, românticas e com um toque moderno. Traduz a leveza de dias ensolarados e a beleza natural de ser você. Sugestão de Uso: Perfuma e desodoriza a pele. Aplique sobre o corpo conforme sua preferência. Para melhor fixação da fragrância, utilize em pontos específicos, como a base do pescoço, punhos, cotovelos e atrás das orelhas. Reaplique ao longo do dia sempre que desejar, para manter a sensação de frescor e a perfumação. Precauções USO EXTERNO. Mantenha fora do alcance de crianças. Não ingerir. Em caso de contato acidental com os olhos, lavar com água em abundância. Em caso de alergia a qualquer um dos componentes da fórmula, suspenda o uso e procure orientação médica. Guardar em ambiente seco, longe da luz solar direta e de fontes de calor. Não utilizar em pele irritada e lesionada. Este produto pode apresentar variação em sua coloração, sem alterar as suas propriedades. Produto Inflamável.;https://braehaircare.vtexassets.com/arquivos/ids/161445/Brae_APS-Body-Splash_Peach-Blossom_200ml_Frente---copia.jpg?v=639161052423530000
00000666;Braé by Ana Paula Siebert Body Splash Perfect Muse Desodorante Colônia 200ml;200ml;645.00;;;Descubra Body Splash Desodorante Colônia Perfect Muse, uma fragrância que inspira todos os momentos. Uma criação sofisticada e feminina, que combina notas florais elegantes com um fundo envolvente e marcante. Desde a saída fresca e luminosa até o fundo ambarado e levemente amadeirado, essa fragrância desperta confiança, charme e autenticidade. Ideal para mulheres que são sua própria inspiração. Traduz equilíbrio entre suavidade e presença, deixando um rastro delicado, confortável e memorável na pele Sugestão de Uso Perfuma e desodoriza a pele. Aplique sobre o corpo conforme sua preferência. Para melhor fixação da fragrância, utilize em pontos específicos, como a base do pescoço, punhos, cotovelos e atrás das orelhas. Reaplique ao longo do dia sempre que desejar, para manter a sensação de frescor e a perfumação. Precauções: USO EXTERNO. Mantenha fora do alcance de crianças. Não ingerir. Em caso de contato acidental com os olhos, lavar com água em abundância. Em caso de alergia a qualquer um dos componentes da fórmula, suspenda o uso e procure orientação médica. Guardar em ambiente seco, longe da luz solar direta e de fontes de calor. Não utilizar em pele irritada e lesionada. Este produto pode apresentar variação em sua coloração, sem alterar as suas propriedades. Produto Inflamável.;https://braehaircare.vtexassets.com/arquivos/ids/161449/Brae_APS-Body-Splash_Perfect-Muse_200ml_Frente---copia.jpg?v=639161050711970000
00000667;Braé by Ana Paula Siebert Body Splash Shine Glow Desodorante Colônia 200ml;200ml;645.00;;;Com um frescor radiante e irresistivelmente moderno, Body Splash Desodorante Colônia Shine Glow revela a sensação de liberdade e brilho natural. Suas notas aquáticas e florais criam uma fragrância leve, refrescante e sofisticada, perfeita para acompanhar todos os momentos do dia. Com um frescor elegante e uma base suave e confortável, Shine Glow envolve a pele com luminosidade e bem-estar, deixando um perfume delicado que ilumina com leveza. Sugestão de Uso: Perfuma e desodoriza a pele. Aplique sobre o corpo conforme sua preferência. Para melhor fixação da fragrância, utilize em pontos específicos, como a base do pescoço, punhos, cotovelos e atrás das orelhas. Reaplique ao longo do dia sempre que desejar, para manter a sensação de frescor e a perfumação. Precauções : USO EXTERNO. Mantenha fora do alcance de crianças. Não ingerir. Em caso de contato acidental com os olhos, lavar com água em abundância. Em caso de alergia a qualquer um dos componentes da fórmula, suspenda o uso e procure orientação médica. Guardar em ambiente seco, longe da luz solar direta e de fontes de calor. Não utilizar em pele irritada e lesionada. Este produto pode apresentar variação em sua coloração, sem alterar as suas propriedades. Produto Inflamável.;https://braehaircare.vtexassets.com/arquivos/ids/161453/Brae_APS-Body-Splash_Shine-Glow_200ml_Frente---copia.jpg?v=639161051348700000
00000270;For Her - Perfume Corporal 100ml;100ml;999.00;;;Fragrância floral ambarada, sofisticada e versátil. Ideal para todas as ocasiões, pode ser usada no corpo e cabelo, proporcionando elegância a cada uso. Compre!;https://braehaircare.vtexassets.com/arquivos/ids/160613/Brae_For-Her_Deo-Parfum_100ml_Frente.jpg.jpg?v=638811995428100000
00000721;Creme para pentear e ativador de chachos e crespos 500g Braé Go Curly;500g;49.00;;;Ideal para modelar e definir cabelos ondulados, cacheados e crespos, o Braé Go Curly Cachos e Crespos Creme de Pentear proporciona definição duradoura, controle eficaz do frizz e um toque macio, sem pesar nos fios. Sua fórmula conta com um poderoso blend de óleos nutritivos, como argan, coco, macadâmia, amêndoas, oliva, girassol, linhaça e rosa mosqueta, que promovem hidratação profunda, nutrição intensa e brilho radiante, ajudando a manter os cachos mais saudáveis, disciplinados e cheios de vida.;https://braehaircare.vtexassets.com/arquivos/ids/161579/Go-Curly_Ativador.jpg?v=639216173829600000
00000720;Gelatina Ultra Nutrição para cachos e crespos 500g Braé Go Curly;500g;49.00;;;Definição natural com movimento e proteção térmica. A geleia ativadora é ideal para modelar os fios, com fórmula leve para cachos impecáveis. Garanta a sua!;https://braehaircare.vtexassets.com/arquivos/ids/161573/Go-Curly_Gelatina.jpg?v=639216165947630000
00000725;BRAÉ Stages by Bruna Tavares Condicionador Repair Butter Banana 250ml;250ml;3495.00;;;BRAÉ Stages by Bruna Tavares Condicionador Repair Butter Banana é o aliado perfeito para selar as cutículas e prolongar o tratamento de restauração. Com uma consistência cremosa e nutritiva, ele envolve os fios em um complexo de Biotina e ativos hidratantes que reparam os danos e eliminam a porosidade. Sua ação imediata facilita o desembaraço e melhora drasticamente a penteabilidade, deixando os cabelos incrivelmente sedosos, leves e com um movimento natural. O resultado são fios protegidos, com aspecto saudável e brilho radiante.;https://braehaircare.vtexassets.com/arquivos/ids/161593/BRAE_Stages_BT_Condicionador_250ml-Frente.jpg?v=639216466547570000
00000525;Braé Stages by Bruna Tavares Gloss Hydra - Condicionador 250ml;250ml;3495.00;;;Condicionador Braé Stages by Bruna Tavares 250ml: hidratação intensa, brilho espelhado, desembaraço imediato e cutículas seladas sem pesar.;https://braehaircare.vtexassets.com/arquivos/ids/161256/Brae_Stages_BT_Condicionador_250ml_Frente.jpg?v=638963259152800000
00000526;Braé Stages by Bruna Tavares Gloss Hydra - Máscara Capilar 200g;200g;3995.00;;;Máscara Braé Stages by Bruna Tavares Gloss Hydra: hidratação intensa, fios macios e sedosos, até 4x mais brilho com óleo de Tsubaki e BT Bio Shine.;https://braehaircare.vtexassets.com/arquivos/ids/161258/Brae_Stages_BT_Hair-Mask_200ml_Frente.jpg?v=638963259340670000
00000528;Braé Stages by Bruna Tavares Gloss Hydra - Óleo Capilar 60ml;60ml;4495.00;;;Óleo Capilar Braé Stages Gloss Hydra by Bruna Tavares: brilho espelhado instantâneo, hidratação intensa e proteção térmica sem pesar.;https://braehaircare.vtexassets.com/arquivos/ids/161262/Brae_Stages_BT_Hair-Oil_60ml_Frente.jpg?v=638963259665670000
00000524;Braé Stages by Bruna Tavares Gloss Hydra- Shampoo 250ml;250ml;3495.00;;;Shampoo Braé Stages by Bruna Tavares 250ml: limpeza suave, hidratação intensa com óleo de Tsubaki e brilho espelhado com BT Gloss Hydra.;https://braehaircare.vtexassets.com/arquivos/ids/161254/Brae_Stages_BT_Shampoo_250ml_Frente.jpg?v=638963258936430000
00000659;BRAÉ Stages by Bruna Tavares Gloss Hydra Power Condicionante 13ml;13ml;1995.00;;;BRAÉ Stages Gloss Hydra by Bruna Tavares Ampola Condicionante apresenta uma fórmula com componentes que contribuem para a saúde dos fios. É enriquecida com óleo de Tsubaki, que auxilia na hidratação e proporciona brilho espelhado, além do BT Bio Shine, que ajuda no alinhamento das cutículas, garantindo uma experiência prática e cabelos com aspecto mais macio.;https://braehaircare.vtexassets.com/arquivos/ids/161420/imagem.jpg?v=639088444960130000
00000661;Braé Stages by Bruna Tavares Gloss Hydra Condicionador 1L;1L;9995.00;;;"BRAÉ Stages Gloss Hydra by Bruna Tavares Condicionador garante brilho espelhado e hidratação intensa em cada aplicação. Enriquecido com óleo de Tsubaki e o BT Bio Shine, sua fórmula garante desembaraço imediato e selamento das cutículas, sem pesar. ATIVOS PRINCIPAIS Óleo de Tsubaki: Hidratação diária e nutrição leve com o poder do óleo de camélia japonesa. BT Bio Shine: Tecnologia de brilho inteligente composta por um blend de ativos poderosos que ativam o brilho espelhado, realçam a cor e entregam até 4x mais brilho. MODO DE USO Aplique o condicionador nos cabelos úmidos e deixe agir por alguns minutos. Enxágue. BENEFÍCIOS Brilho espelhado; Hidratação intensa; Selamento das cutículas; Desembaraço";https://braehaircare.vtexassets.com/arquivos/ids/161426/Brae_Stages_BT-Condicionador_1l_Frente.jpg?v=639104709813370000
00000660;Braé Stages by Bruna Tavares Gloss Hydra Shampoo 1L;1L;9495.00;;;"BRAÉ Stages Gloss Hydra by Bruna Tavares Shampoo limpa suavemente sem ressecar. Enriquecido com óleo de Tsubaki, que garante hidratação intensa, e BT Bio Shine, que alinha as cutículas e intensifica o brilho espelhado. ATIVOS PRINCIPAIS Óleo de Tsubaki: Hidratação diária e nutrição leve com o poder do óleo de camélia japonesa. BT Bio Shine: Tecnologia de brilho inteligente composta por um blend de ativos poderosos que ativam o brilho espelhado, realçam a cor e entregam até 4x mais brilho. MODO DE USO Aplique nos cabelos molhados e massageie o couro cabeludo até formar espuma. Enxágue. Repita a aplicação se necessário; BENEFÍCIOS Limpeza suave; Não resseca os fios; Brilho; Hidratação";https://braehaircare.vtexassets.com/arquivos/ids/161424/Brae_Stages_BT-Shampoo_1l_Frente.jpg?v=639104699984300000
00000527;Braé Stages by Bruna Tavares Gloss Hydra Spray - Leave In 200ml;200ml;4995.00;;;Leave-In Braé Stages by Bruna Tavares Gloss Hydra: 4x mais brilho, hidratação intensa, antifrizz e proteção térmica com óleo de Tsubaki e BT Bio Shine.;https://braehaircare.vtexassets.com/arquivos/ids/161260/Brae_Stages_BT_Leave-In_200ml_Frente.jpg?v=638963259512330000
00000671;Braé Stages By Bruna Tavares Máscara Condicionante Repair Butter Banana 200g;200g;3995.00;;;BRAÉ Stages by Bruna Tavares Máscara Condicionante Repair Butter Banana apresenta uma fórmula com componentes que contribuem para a restauração e o cuidado dos fios. É enriquecida com ativos nutritivos, como Extrato de Banana, Pantenol e Biotina, que auxiliam na hidratação e na reparação da fibra capilar, ajudando a devolver maciez, brilho e vitalidade. Sua composição favorece o desembaraço e melhora a penteabilidade, proporcionando uma experiência prática e cabelos com aspecto mais saudável e sedoso. Sugestão de Uso: Após lavar os cabelos com o shampoo da linha BRAÉ Stages de sua preferência, aplique a BRAÉ Stages by Bruna Tavares Máscara Condicionante Repair Butter Banana nos cabelos úmidos. Deixe agir por 5 minutos e enxágue bem.minutos e enxágue bem.;https://braehaircare.vtexassets.com/arquivos/ids/161474/BRAE-BT-Banana-Ecomm_Mascara_Frente.jpg?v=639142127195100000
00000670;Braé Stages By Bruna Tavares Óleo Condicionante Repair Butter Banana 60ml;60ml;4495.00;;;Braé Stages by Bruna Tavares Repair Butter Banana Óleo Capilar Condicionante oferece restauração, hidratação e proteção térmica. Sugestão de Uso: Aplique algumas gotas do Óleo Capilar Condicionante na palma das mãos. Espalhe no comprimento dos cabelos até completa absorção. Finalize como desejar.;https://braehaircare.vtexassets.com/arquivos/ids/161476/BRAE-BT-Banana-Ecomm_Oleo_Frente.jpg?v=639142127468100000
00000724;BRAÉ Stages by Bruna Tavares Shampoo Repair Butter Banana 250ml;250ml;3495.00;;;BRAÉ Stages by Bruna Tavares Shampoo Repair Butter Banana oferece uma limpeza equilibrada que prepara os fios para uma restauração profunda. Sua fórmula inovadora, enriquecida com Biotina e ativos nutritivos, inicia o processo de reparação da fibra capilar já na lavagem. Desenvolvido para devolver a vitalidade e a força, ele protege os cabelos enquanto remove as impurezas, garantindo fios mais resistentes, macios e com brilho natural.;https://braehaircare.vtexassets.com/arquivos/ids/161589/BRAE_Stages_BT_Shampoo_250ml-Frente.jpg?v=639216461656400000
00000710;Brae stages Color Protect - Máscara Proteção da Cor 200g;200g;3995.00;;;Tratamento antioxidante que protege e prolonga a vitalidade da cor. Hidrata intensamente, devolvendo a maciez e o brilho para cabelos coloridos. Confira!;https://braehaircare.vtexassets.com/arquivos/ids/161536/Design-sem-nome--18-.jpg.jpg?v=639204217158500000
00000511;Braé Stages Hydration - Condicionador Hidratação Profunda 1L;1L;9995.00;;;O condicionador BRAÉ Stages Hydration com aloe vera e aminoácidos. Hidrata, desembaraça e sela as cutículas para fios alinhados, soltos e radiantes.;https://braehaircare.vtexassets.com/arquivos/ids/161109/Brae_Stages_Hydration_Condicionador_1L_Frente-1000x1000.jpg?v=638895074208030000
00000512;Braé Stages Hydration - Máscara Hidratação Profunda 500g;500g;899.00;;;Máscara capilar BRAÉ Stages Hydration com aloe vera e aminoácidos. Hidrata profundamente, recupera a maciez e devolve o brilho em minutos.;https://braehaircare.vtexassets.com/arquivos/ids/161119/Brae_Stages_Hydration_Mascara_500g_Frente-1000x1000.jpg?v=638895074794600000
00000510;Braé Stages Hydration - Shampoo Hidratação Profunda 1L;1L;9495.00;;;Acesse e conheça o shampoo Stages Hydration com aloe vera e aminoácidos. Limpa suavemente, hidrata profundamente e prepara os fios para tratamentos intensivos.;https://braehaircare.vtexassets.com/arquivos/ids/161228/Brae_Stages_Hydration_Shampoo_1L_Frente-1000x1000.jpg?v=638918159004270000
00000508;Braé Stages Nutrition - Concidionador Nutrição Intensa 1L;1L;9995.00;;;Nutrição poderosa com o BRAÉ Stages Nutrition 1L: lipoproteínas e óleos nutritivos que restauram a maciez, reduzem o frizz e tratam o ressecamento sem pesar.;https://braehaircare.vtexassets.com/arquivos/ids/161115/Brae_Stages_Nutrition_Condicionador_1L_Frente-1000x1000.jpg?v=638895074574570000
00000509;Braé Stages Nutrition - Máscara Nutrição Intensa 500g;500g;899.00;;;Máscara capilar Stages Nutrition com lipoproteínas e óleos nutritivos. Nutre, controla o frizz e devolve o brilho e a maciez aos fios ressecados.;https://braehaircare.vtexassets.com/arquivos/ids/161117/Brae_Stages_Nutrition_Mascara_500g_Frente-1000x1000.jpg?v=638895074679700000
00000668;Braé Stages Nutrition Oil Repair Condicionante 60ml;60ml;59.00;;;Braé Stages Nutrition Oil Repair Condicionante é um óleo hidratante desenvolvido para todos os tipos de cabelo. Sua fórmula combina um mix de óleos e vitamina E. Rico em ativos que ajudam a tratar o cabelo danificado e quebradiço, proporciona maciez, brilho intenso e ação anti frizz. Promove reparação e redução das pontas duplas, além de proteger contra danos externos. Protege do calor de ferramentas térmicas. Sugestão de Uso: Pode ser aplicado com o cabelo seco ou úmido, quando sentir que os fios precisam de hidratação e reparação. Aplique algumas gotas de Braé Stages Treatment Oil Blend na palma das mãos e espalhe no comprimento dos cabelos até completa absorção. Finalize como desejar Precauções: USO EXTERNO. Mantenha fora do alcance de crianças. Em caso de contato com os olhos, lavar com água em abundância. Em caso de alergia a qualquer um dos componentes da fórmula, suspenda o uso e procure orientação médica.;https://braehaircare.vtexassets.com/arquivos/ids/161437/Brae_Stages-Nutrition_Oil-Repair_60ml_Frente.jpg?v=639112765452700000
00000507;Braé Stages Nutrition - Shampoo Nutrição Intensa 1L;1L;9495.00;;;O Shampoo Stages Nutrition tem lipoproteínas, óleo de macadâmia e extratos vegetais. Limpa sem pesar os fios e regenera os fios desde o primeiro uso.;https://braehaircare.vtexassets.com/arquivos/ids/161230/Brae_Stages_Nutrition_Shampoo_1L_Frente-1000x1000.jpg?v=638918159413270000
00000669;Braé Stages Nutrition Spray Multi Leave-in Condicionante 260ml;260ml;4991.00;;;Braé Stages Nutrition Spray Multi Leave-in Condicionante é uma névoa leve que nutre delicadamente, enquanto protege os fios. Sua fórmula foi desenvolvida para promover um efeito reparador, prevenir as pontas duplas e reduzir o frizz. Cabelo hidratado, sedoso e com muito mais brilho. Contém proteção térmica. Sugestão de Uso: Agite antes de usar. Com os cabelos úmidos ou secos, aplique uma quantidade suficiente do Spray Multi Leave-in para envolver os fios, a uma distância de 30 centímetros. Massageie suavemente por todo o comprimento e pontas. Deixe secar naturalmente ou finalize com uma ferramenta de calor, como secador ou modelador. Precauções: Uso externo. Manter fora do alcance de crianças, em local seco e arejado, ao abrigo da luz, calor e umidade. Em caso de irritação, suspenda o uso e procure orientação médica.;https://braehaircare.vtexassets.com/arquivos/ids/161439/Brae_Stages-Treatment_Multi-Leave-in-Nutric╠ºa╠ao_260ml_Frente.jpg?v=639114358188770000
00000696;Braé Stages Oil Control - Condicionador Controle da Oleosidade 250ml;250ml;4794.00;;;Condiciona de forma equilibrada, sem pesar. Deixa os cabelos soltos, com brilho, movimento e uma agradável sensação de frescor. Ideal para fios oleosos.;https://braehaircare.vtexassets.com/arquivos/ids/161509/Design-sem-nome--26-.jpg.jpg?v=639195530291970000
