sku;name;weight;price;category;stock;description;image
10213;Progressiva Orgânica Liso Máximo Passo 2 Selante Bio-Natural 1000ml;1000ml;180.00;"categoria-id-23792243 borda-principal"">";in_stock;Este é um produto de uso profissional, desenvolvido para procedimentos específicos. A aplicação incorreta pode comprometer o resultado ou a integridade dos fios. Recomendamos uso apenas por profissionais.;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381453633/liso_maximo_passo1_1000ml-jhkpmt6se5.png
10159;Queratina Cauterizadora Total Repair Finalizador Molecular 250ml;250ml;70.00;"categoria-id-23792243 borda-principal"">";in_stock;O Finalizador Queratina Cauterizadora Concentrada – SOS com Queratinização Molecular;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381445461/total_repair_shampoo_1000ml-dwm0zobcwh.png
10777;Queratina Líquida Total Repair Pura Hidrolisada 300ml;300ml;110.00;"categoria-id-23792243 borda-principal"">";in_stock;A Queratina Líquida Pura Hidrolisada – Total Repair;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381445461/total_repair_shampoo_1000ml-dwm0zobcwh.png
104020001;Reparador de Pontas Inovax Brilho e Reparação 30 ml;30 ml;110.00;"categoria-id-23792243 borda-principal"">";in_stock;O Reparador de Pontas e Potencializador de Brilho Inovax Cristal Repair;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381452579/absolut_blond_mascara_1000g-ssy6hwoyjj.png
236;Sabonete Líquido em Espuma Mousse 150ml;150ml;50.00;"categoria-id-23792243 borda-principal"">";in_stock;O Sabonete Líquido em Espuma Mousse Facial;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381450375/total_repair_queratina_liquida-tg1u2w8wju.png
10215;Shampoo Antiqueda Inovax 300ml;300ml;65.00;"categoria-id-23792243 borda-principal"">";in_stock;Shampoo Antiqueda Inovax - Revitalize seus cabelos e combata a queda!;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381080247/produtos_transparente_padding_medio-3l0afxgwwz.png
105030001;Shampoo Blindage Inovax Proteção da Cor e Brilho 300ml;300ml;60.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Blindage Plex Color Inovax;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381605378/linha-plex-color-hc-1yu2uhcril.png
401040001;Shampoo Cachos Divinos Inovax Hidratação e Definição 300ml;300ml;65.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Inovax Cachos Divinos Nutritivo;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375080445/mascara-divino-cachos-2t35omt2nr.png
10179;Shampoo Cicatrização Inovax Reconstrução e Nutrição 1000ml;1000ml;180.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Cicatric Reconstrutor;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375073268/mascara-cicatri-hair-hmz18mx3c8.png
401080001;Shampoo Cicatrização Inovax Reconstrução e Nutrição 300ml;300ml;65.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Inovax Cicatric Reconstrutor e Nutritivo;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375073268/mascara-cicatri-hair-hmz18mx3c8.png
10855;Shampoo Liso Leve e Solto;;65.90;"categoria-id-23792243 borda-principal"">";in_stock;Shampoo Manutenção Liso Leve Solto Perfeito - Cabelos lisos, hidratados e radiantes!;https://cdn.awsli.com.br/300x300/2873/2873879/produto/399070906/kit-liso-leve-solto-home-care-rrfr13h5if.png
401070001;Shampoo Liso Máximo Inovax Fios Alinhados Anti-Frizz 300ml;300ml;60.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Inovax Liso Máximo No Frizz;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381099797/linha-liso-maximo-hc-tc085ba1yp.png
10141;Progressiva Shampoo Liso Máximo Passo 1 Dilatter pH Control 1000ml;1000ml;160.00;"categoria-id-23792243 borda-principal"">";in_stock;Este é um produto de uso profissional, desenvolvido para procedimentos específicos. A aplicação incorreta pode comprometer o resultado ou a integridade dos fios. Recomendamos uso apenas por profissionais.;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381455051/liso_maximo_passo2_1000ml-sybn6lmah6.png
105060001;Shampoo Matizador Inovax Hidratação e Brilho 300ml;300ml;64.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Inovax Absolut Blond Matizador;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375075096/condicionador-absolut-blond-rpbv3i645d.png
10173;Shampoo Matizador Inovax Hidratação e Brilho 1000ml;1000ml;120.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Blond Matizador;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375074745/shampoo-absolut-blond-nd43j3wofo.png
401020001;Shampoo Super Força Inovax Crescimento dos Fios Biotina 300ml;300ml;60.00;"categoria-id-23792243 borda-principal"">";in_stock;A Linha Biotina Néctar Professional;https://cdn.awsli.com.br/300x300/2873/2873879/produto/374956848/condicionador-super-forca-k3usecjmp9.png
10862;Shampoo Super Força Inovax Crescimento dos Fios Biotina 1000ml;1000ml;150.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Super Força com Biotina;https://cdn.awsli.com.br/300x300/2873/2873879/produto/375064480/shampoo-super-forca-xfc39rby7x.png
401010005;Shampoo Total Repair Inovax Restauração e Força 300ml;300ml;67.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Inovax Total Repair Antioxidante Queratina;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381604470/total_repair_condicionador_300ml-gfepomzf0f.png
10160;Shampoo Total Repair Queratina e Antioxidante 1000ml;1000ml;120.00;"categoria-id-23792243 borda-principal"">";in_stock;O Shampoo Total Repair – Queratina e Antioxidante;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381450375/total_repair_queratina_liquida-tg1u2w8wju.png
10863;Tônico Capilar Super Força Bioxidil 100ml;100ml;160.00;"categoria-id-23792243 borda-principal"">";in_stock;O Tônico Terapêutico Capilar Bioxidil foi desenvolvido para fortalecer os fios desde a raiz, estimular o crescimento e restaurar a saúde do couro cabeludo. Sua fórmula reúne aminoácidos como Arginina e Acetil Tirosina, que reforçam a estrutura capilar, além de Ácido Glutâmico e Creatina, que recuperam a elasticidade e reduzem a quebra.;https://cdn.awsli.com.br/300x300/2873/2873879/produto/381441135/linha-super-forca-pro-r1yvv65y33.png
