sku;name;weight;price;category;stock;description;image
DGU9G5RVQ;Shampoo Matizador Eco Belle 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-matizador-eco-belle-300ml-67412d0f82b5a-large.png
YYYS5P629;Kit NutriSim Bela Pro;;133.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-nutrisim-bela-pro-6a6a5d128a78f-large.jpeg
U292SXL8P;Ironed Hair Silver 500g;500g;114.99;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ironed-hair-silver-500g-67411caf256a1-large.png
Z3ND3HEVB;Shampoo Coco & Camomila by Vitória Lima EcoBelle - 300 mL;300 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-coco-camomila-by-vitoria-lima-ecobelle-300-ml-667ac95c76b57-large.png
RAEKECC87;Creme de Pentear/ Leave-in NutriSim Bela Pro 500 mL;500 mL;28.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/creme-de-pentear-leave-in-nutrisim-bela-pro-500-ml-6537379b5b1e3-large.png
ZR936JBFC;Shampoo NutriSim Bela Pro 500 mL;500 mL;28.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-nutrisim-bela-pro-500-ml-653735fca65f4-large.png
5CVZ5BS8H;Shampoo e Condicionador Algas Marinhas 1L Eco Belle;1L;70.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-e-condicionador-algas-marinhas-1l-eco-belle-6927adec70ee0-large.png
NFHWURMJ4;Kit Indústria pra Favela 800 mL;800 mL;34.99;Industria pra favela;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-industria-pra-favela-800-ml-66c69f3bc524e-large.png
NBABPJVUS;Máscara Efeito Teia EcoBelle 1 kg *NOVA EMBALAGEM*;1 kg;150.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-efeito-teia-ecobelle-1-kg-nova-embalagem-68d6c2165a988-large.png
FMC93GCXT;Shampoo Liso Mágico Bela Pro 300 mL;300 mL;22.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-liso-magico-bela-pro-300-ml-65372e2c85786-large.png
WXM657UMY;Condicionador NutriSim Bela Pro 500 mL;500 mL;28.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-nutrisim-bela-pro-500-ml-65373679b86bf-large.png
EHE34PCDP;Shampoo Matizador Eco Belle 1 L - NOVA EMBALAGEM;1 L;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-matizador-eco-belle-1-l-nova-embalagem-6927aec0d725f-large.png
EF5ASHTNC;Kit Indústria pra Favela 450 mL;450 mL;23.99;Industria pra favela;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-industria-pra-favela-450-ml-66c69ecf1397b-large.png
57DY6ECTU;Condicionador Liso Mágico Bela Pro 300 mL;300 mL;22.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-liso-magico-bela-pro-300-ml-65372e9d34eb5-large.png
HR6LKXYGJ;Gran Finale Protetor Térmico Eco Belle - 200 mL;200 mL;80.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/gran-finale-protetor-termico-eco-belle-200-ml-64ef42b2de208-large.png
7SBBKXLX2;Reparador de Pontas Eco Belle 60 mL;60 mL;69.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/reparador-de-pontas-eco-belle-60-ml-650dbfa22de3d-large.png
22TJS8HBH;Condicionador Coco & Camomila by Vitória Lima EcoBelle 300 mL;300 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-coco-camomila-by-vitoria-lima-ecobelle-300-ml-667ac92af0520-large.png
QG732NABK;Condicionador Matizador Silver Eco Belle 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-matizador-silver-eco-belle-300ml-674125986d4d4-large.png
PMNPTTBYM;Shampoo Pimenta Rosa Eco Belle 300 mL;300 mL;35.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-pimenta-rosa-eco-belle-300-ml-64ef8d6bc5337-large.png
ASUE5CZGP;Shampoo HidraSim Bela Pro 500 mL;500 mL;28.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-hidrasim-bela-pro-500-ml-653739b5aba20-large.png
P2M2DEK4D;Condicionador Matizador Eco Belle 1 L - NOVA EMBALAGEM;1 L;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-matizador-eco-belle-1-l-nova-embalagem-6927af3258c88-large.png
